Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	92239.445312	17284.240234	21168.292969
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	62549.531250	11720.810547	14354.670898
ENSSASG00005000004	S	MN908947.3	+	21563	25384	148316.093750	27792.132812	34037.484375
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	177751.968750	33307.960938	40792.804688
ENSSASG00005000010	E	MN908947.3	+	26245	26472	217903.437500	40831.722656	50007.281250
ENSSASG00005000007	M	MN908947.3	+	26523	27191	298420.218750	55919.320312	68485.304688
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	514085.156250	96331.578125	117978.867188
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	436568.343750	81806.132812	100189.320312
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	445482.000000	83476.406250	102234.937500
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	456011.531250	85449.484375	104651.390625
ENSSASG00005000005	N	MN908947.3	+	28274	29533	624532.375000	117027.679688	143325.718750
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	883574.125000	165568.062500	202773.937500
