Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	113116.171875	18299.037109	22710.941406
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	72942.773438	11800.103516	14645.113281
ENSSASG00005000004	S	MN908947.3	+	21563	25384	171609.156250	27761.568359	34454.894531
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	202413.531250	32744.857422	40639.656250
ENSSASG00005000010	E	MN908947.3	+	26245	26472	254647.859375	41194.910156	51127.023438
ENSSASG00005000007	M	MN908947.3	+	26523	27191	325059.937500	52585.617188	65264.031250
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	574764.750000	92980.882812	115398.609375
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	501170.875000	81075.453125	100622.773438
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	498696.312500	80675.132812	100125.945312
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	562947.812500	91069.234375	113026.062500
ENSSASG00005000005	N	MN908947.3	+	28274	29533	698313.250000	112967.578125	140204.109375
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	1005007.875000	162582.203125	201780.843750
