Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	1.100382	13962.289062	17665.607422
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	1.233262	15648.347656	19798.871094
ENSSASG00005000004	S	MN908947.3	+	21563	25384	2.526688	32060.093750	40563.621094
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	3.200483	40609.597656	51380.769531
ENSSASG00005000010	E	MN908947.3	+	26245	26472	3.048246	38677.925781	48936.746094
ENSSASG00005000007	M	MN908947.3	+	26523	27191	3.922272	49768.078125	62968.417969
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	5.419355	68763.945312	87002.687500
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	5.269986	66868.664062	84604.710938
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	5.372615	68170.875000	86252.320312
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	6.243169	79216.968750	100228.257812
ENSSASG00005000005	N	MN908947.3	+	28274	29533	8.354762	106010.101562	134127.906250
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	16.598291	210608.812500	266470.093750
