Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	89597.484375	18004.808594	22732.072266
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	59613.417969	11979.445312	15124.715820
ENSSASG00005000004	S	MN908947.3	+	21563	25384	138496.937500	27831.259766	35138.511719
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	156332.515625	31415.357422	39663.636719
ENSSASG00005000010	E	MN908947.3	+	26245	26472	193656.703125	38915.734375	49133.277344
ENSSASG00005000007	M	MN908947.3	+	26523	27191	253913.250000	51024.417969	64421.164062
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	479592.937500	96375.234375	121679.093750
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	386296.437500	77627.109375	98008.539062
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	379093.937500	76179.750000	96181.164062
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	418449.843750	84088.398438	106166.281250
ENSSASG00005000005	N	MN908947.3	+	28274	29533	543486.562500	109214.804688	137889.765625
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	842927.062500	169388.015625	213861.781250
