Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	0.398361	6848.103027	7955.394043
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	1.128016	19391.380859	22526.832031
ENSSASG00005000004	S	MN908947.3	+	21563	25384	1.600471	27513.210938	31961.908203
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	1.702899	29274.019531	34007.425781
ENSSASG00005000010	E	MN908947.3	+	26245	26472	2.938596	50516.511719	58684.683594
ENSSASG00005000007	M	MN908947.3	+	26523	27191	2.668161	45867.546875	53284.011719
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	7.026882	120796.992188	140329.031250
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	5.098596	87648.421875	101820.562500
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	2.719044	46742.261719	54300.160156
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	5.008197	86094.390625	100015.265625
ENSSASG00005000005	N	MN908947.3	+	28274	29533	6.460318	111057.367188	129014.578125
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	13.324786	229062.359375	266100.156250
