Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	0.877555	12362.193359	14089.690430
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	1.089830	15352.529297	17497.898438
ENSSASG00005000004	S	MN908947.3	+	21563	25384	2.902669	40890.148438	46604.152344
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	2.777778	39130.796875	44598.953125
ENSSASG00005000010	E	MN908947.3	+	26245	26472	1.872807	26382.394531	30069.080078
ENSSASG00005000007	M	MN908947.3	+	26523	27191	3.568012	50262.894531	57286.648438
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	5.930108	83537.945312	95211.570312
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	5.292994	74562.867188	84982.304688
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	5.566398	78414.328125	89371.976562
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	5.896175	83059.929688	94666.750000
ENSSASG00005000005	N	MN908947.3	+	28274	29533	6.714286	94584.726562	107802.031250
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	19.794872	278852.062500	317818.968750
