Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	47073.976562	18076.867188	28544.287109
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	37590.562500	14435.141602	22793.820312
ENSSASG00005000004	S	MN908947.3	+	21563	25384	75181.125000	28870.283203	45587.640625
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	81242.085938	31197.751953	49262.832031
ENSSASG00005000010	E	MN908947.3	+	26245	26472	100827.796875	38718.859375	61139.039062
ENSSASG00005000007	M	MN908947.3	+	26523	27191	116835.445312	44865.949219	70845.609375
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	190885.156250	73301.765625	115747.187500
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	157498.703125	60481.039062	95502.625000
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	160151.875000	61499.886719	97111.429688
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	194726.125000	74776.734375	118076.242188
ENSSASG00005000005	N	MN908947.3	+	28274	29533	232866.031250	89422.828125	141203.171875
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	254276.921875	97644.820312	154186.109375
