Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	66475.515625	19700.812500	32684.189453
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	48943.664062	14505.040039	24064.257812
ENSSASG00005000004	S	MN908947.3	+	21563	25384	97462.218750	28884.093750	47919.500000
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	101394.437500	30049.453125	49852.867188
ENSSASG00005000010	E	MN908947.3	+	26245	26472	127246.601562	37711.050781	62563.664062
ENSSASG00005000007	M	MN908947.3	+	26523	27191	148429.296875	43988.796875	72978.617188
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	244377.812500	72424.289062	120153.875000
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	191328.546875	56702.500000	94071.007812
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	191818.609375	56847.738281	94311.953125
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	225947.281250	66962.171875	111092.085938
ENSSASG00005000005	N	MN908947.3	+	28274	29533	274154.156250	81248.859375	134794.093750
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	316295.656250	93738.000000	155513.906250
