Ensembl	Mock1_Qun	Mock2_Qun	Mock3_Qun	NT1_Qun	NT2_Qun	NT3_Qun	T1_Qun	T2_Qun	T3_Qun
ENSG00000253917	0	0	0	0	0	0	0	0	0
ENSG00000248735	3	7	6	30	16	29	40	16	20
ENSG00000275647	7	3	2	4	6	8	7	5	5
ENSG00000251345	0	0	0	0	2	1	0	0	0
ENSG00000251056	14	13	7	13	19	16	16	20	17
ENSG00000287117	5	3	12	7	9	7	19	14	17
ENSG00000151962	2	2	2	1	1	0	3	1	1
ENSG00000251051	0	0	0	0	0	0	0	0	0
ENSG00000151623	276	188	252	353	325	409	519	390	434
ENSG00000251388	5	5	6	19	11	10	28	12	7
ENSG00000251567	0	0	0	2	3	1	5	2	5
ENSG00000287968	0	0	0	0	0	0	0	0	0
ENSG00000164124	91	64	127	108	106	86	228	120	113
ENSG00000248809	0	0	0	1	0	0	1	3	0
ENSG00000260244	0	0	0	0	0	0	0	0	0
ENSG00000236764	1	0	0	0	0	1	0	0	0
ENSG00000138764	563	406	543	440	449	477	729	530	531
ENSG00000248165	2	0	1	1	1	3	2	2	3
ENSG00000249752	2	0	0	0	0	0	2	0	0
ENSG00000249247	0	0	0	0	0	0	0	0	0
ENSG00000250038	0	0	0	0	0	0	1	0	1
ENSG00000286580	1	1	3	0	0	1	0	3	1
ENSG00000272727	0	0	1	3	6	4	4	5	4
ENSG00000250191	0	0	0	0	0	1	0	0	0
ENSG00000248869	7	8	13	1	5	2	0	5	3
ENSG00000164169	446	285	530	376	381	359	618	472	447
ENSG00000251455	15	15	18	20	13	12	27	26	18
ENSG00000251429	6	6	11	18	6	17	17	11	8
ENSG00000251511	0	0	0	0	1	0	1	0	0
ENSG00000250723	4	0	6	1	0	0	1	4	3
ENSG00000249708	0	0	0	1	1	1	0	0	0
ENSG00000250538	0	0	1	0	0	0	1	0	0
ENSG00000249847	0	0	0	0	0	0	0	0	0
ENSG00000251333	3	3	4	1	0	3	0	2	2
ENSG00000249041	0	0	0	0	0	0	0	0	0
ENSG00000249200	0	0	0	0	0	1	0	0	0
ENSG00000177432	9	10	8	10	11	5	10	11	9
ENSG00000249710	0	0	0	2	0	0	4	0	0
ENSG00000280352	0	0	0	0	0	0	0	0	0
ENSG00000280140	0	0	0	0	0	0	0	0	0
ENSG00000234125	0	0	0	0	0	0	0	0	1
ENSG00000250205	0	0	1	0	0	0	0	0	1
ENSG00000250905	1	0	1	0	0	2	1	4	1
ENSG00000228489	0	0	0	1	0	0	0	0	0
ENSG00000271977	0	0	0	0	0	0	0	0	0
ENSG00000287072	0	0	0	7	2	4	3	1	4
ENSG00000151458	1210	767	981	823	795	724	1438	1028	1136
ENSG00000249506	0	0	0	7	8	10	9	5	15
ENSG00000248988	2	2	2	11	8	3	8	6	8
ENSG00000250503	0	0	0	0	0	0	0	0	0
ENSG00000251113	0	0	0	0	0	0	0	0	0
ENSG00000271606	0	0	0	0	0	0	0	0	0
ENSG00000250141	0	0	0	0	0	1	0	0	1
ENSG00000251283	0	0	0	0	0	2	0	1	1
ENSG00000251440	0	0	0	0	0	0	1	0	0
ENSG00000227118	3	0	0	15	6	10	11	16	8
ENSG00000248387	0	0	0	0	0	0	0	0	0
ENSG00000250326	4	4	14	16	20	22	48	19	23
ENSG00000248113	5	5	3	13	11	7	9	7	5
ENSG00000077684	1075	709	917	979	823	852	1483	1025	1140
ENSG00000250027	79	51	44	95	85	80	191	123	118
ENSG00000163629	2647	1583	2231	1705	1538	1628	3041	2018	2172
ENSG00000250082	0	0	0	0	0	0	0	2	0
ENSG00000248187	0	1	2	7	7	5	11	6	8
ENSG00000248420	0	0	0	0	0	0	0	0	0
ENSG00000251256	0	0	0	0	0	0	0	0	0
ENSG00000278981	0	0	0	0	0	0	0	0	1
ENSG00000260265	14	4	24	0	5	7	3	12	5
ENSG00000145451	9	2	6	23	25	28	36	31	19
ENSG00000248747	1	0	0	3	3	1	4	8	7
ENSG00000280711	0	0	0	0	1	0	0	3	4
ENSG00000251291	0	0	0	0	0	0	0	0	0
ENSG00000278943	0	1	0	1	0	0	0	0	1
ENSG00000250777	0	2	0	0	0	0	1	0	0
ENSG00000250769	1	0	0	0	3	0	2	2	1
ENSG00000248104	0	0	0	0	0	0	0	0	0
ENSG00000164117	293	179	269	179	146	202	223	213	235
ENSG00000286251	0	0	0	1	0	0	0	0	0
ENSG00000241281	0	0	0	2	2	5	5	2	1
ENSG00000249675	0	0	0	0	1	0	3	0	1
ENSG00000248480	0	0	0	0	1	1	0	0	0
ENSG00000251676	0	0	0	0	2	1	2	0	0
ENSG00000248872	0	0	0	0	0	0	0	0	0
ENSG00000248958	0	0	0	1	0	3	0	4	1
ENSG00000270669	1	5	2	12	8	6	8	7	9
ENSG00000154447	420	303	378	249	249	245	401	310	329
ENSG00000170390	142	135	105	94	88	92	156	108	124
ENSG00000251488	0	0	0	3	0	1	2	1	1
ENSG00000287441	0	0	0	0	0	0	2	0	0
ENSG00000153147	4161	2732	3661	1555	1553	1605	2712	2010	2177
ENSG00000250354	1	4	1	1	7	5	6	5	5
ENSG00000251598	0	1	0	0	0	0	0	0	0
ENSG00000279703	0	0	0	1	0	0	0	0	0
ENSG00000250560	0	0	0	1	1	0	1	0	0
ENSG00000287292	2	5	2	21	6	7	9	9	12
ENSG00000250665	0	0	0	3	0	0	6	0	0
ENSG00000250126	0	0	0	1	0	0	0	0	0
ENSG00000286253	2	1	0	5	3	8	8	2	3
ENSG00000251249	0	0	1	4	3	2	4	1	7
ENSG00000248574	0	0	0	0	0	0	0	2	0
ENSG00000251162	0	0	0	0	0	0	0	0	0
ENSG00000249542	0	0	0	0	0	0	0	0	0
ENSG00000251061	0	0	0	0	0	1	0	0	0
ENSG00000248912	0	0	0	0	3	1	1	1	0
ENSG00000286558	4	1	4	3	6	5	9	3	8
ENSG00000251123	2	0	1	3	4	2	7	2	4
ENSG00000234111	0	0	0	0	0	0	0	0	0
ENSG00000168785	212	134	201	135	150	144	263	195	219
ENSG00000249275	0	0	0	0	0	0	0	0	0
ENSG00000163644	1243	738	1071	995	938	928	1736	1158	1216
ENSG00000248921	0	0	0	0	0	0	0	0	0
ENSG00000286711	0	0	0	0	0	0	0	0	0
ENSG00000249419	0	0	0	0	0	0	1	0	0
ENSG00000251504	0	0	0	2	1	1	1	5	2
ENSG00000230219	0	0	1	0	1	1	0	0	0
ENSG00000052795	751	551	665	486	501	519	885	590	646
ENSG00000164128	0	3	10	8	6	5	12	5	5
ENSG00000198498	621	357	549	428	419	418	813	536	560
ENSG00000249568	0	0	1	10	1	0	25	0	0
ENSG00000251174	0	0	0	0	0	0	0	0	0
ENSG00000163110	1215	823	1069	493	450	394	862	603	597
ENSG00000286862	0	0	0	0	0	0	0	0	0
ENSG00000250865	0	0	0	0	0	0	1	0	0
ENSG00000250131	6	11	8	23	25	13	29	33	32
ENSG00000248266	6	4	9	9	4	11	15	15	17
ENSG00000249770	0	0	0	0	0	0	0	0	0
ENSG00000121207	14	15	23	12	4	9	22	17	16
ENSG00000164118	1214	651	1105	967	885	927	1727	1093	1054
ENSG00000168556	151	98	127	145	140	131	211	131	176
ENSG00000168843	0	0	1	10	0	0	6	0	0
ENSG00000249479	0	0	0	0	0	0	0	0	0
ENSG00000249883	12	4	3	4	5	8	13	9	11
ENSG00000250192	0	0	0	0	0	1	0	3	1
ENSG00000249381	1	3	0	3	5	5	3	1	2
ENSG00000287948	2	0	1	4	5	2	6	0	4
ENSG00000250315	0	2	1	1	2	1	0	1	2
ENSG00000071205	530	375	413	295	288	304	482	352	414
ENSG00000250398	0	0	0	0	0	0	0	0	0
ENSG00000181359	5	3	4	0	0	0	4	1	0
ENSG00000249924	0	0	0	0	0	1	0	0	0
ENSG00000280005	0	0	0	0	0	1	0	0	0
ENSG00000249500	0	0	0	0	1	0	1	0	0
ENSG00000249411	0	0	0	0	0	0	2	1	0
ENSG00000250034	0	0	0	0	0	0	0	2	0
ENSG00000287424	1	0	0	3	4	2	6	2	3
ENSG00000278974	47	48	64	62	53	43	119	64	73
ENSG00000248755	0	0	0	0	0	0	0	0	0
ENSG00000248907	0	0	0	0	0	0	0	0	0
ENSG00000249692	0	0	0	0	0	0	0	0	0
ENSG00000249367	4	0	2	1	3	3	8	2	5
ENSG00000164303	5	7	8	5	0	6	15	9	8
ENSG00000249951	2	2	3	6	1	7	3	2	3
ENSG00000248388	1	0	0	2	2	3	2	3	0
ENSG00000182552	206	102	200	175	133	123	239	160	157
ENSG00000249513	2	0	0	6	2	3	10	7	10
ENSG00000251195	1	0	0	0	1	0	1	1	0
ENSG00000249004	0	0	1	3	4	1	1	1	3
ENSG00000280241	1	0	0	2	3	3	5	1	3
ENSG00000287144	2	0	1	4	5	5	6	6	5
ENSG00000251433	0	1	1	1	4	1	2	1	1
ENSG00000242318	5	3	8	6	2	9	6	7	9
ENSG00000164168	655	436	674	355	389	380	624	491	488
ENSG00000250626	0	0	0	0	0	0	0	1	0
ENSG00000250726	0	1	1	0	2	5	2	0	7
ENSG00000250839	0	0	0	0	0	0	0	0	0
ENSG00000249386	0	0	0	0	0	0	0	0	0
ENSG00000287730	1	0	0	0	0	1	0	0	1
ENSG00000164136	9	7	16	5	8	4	20	13	13
ENSG00000248376	0	0	0	0	0	0	2	0	0
ENSG00000249955	6	1	6	4	5	0	4	4	6
ENSG00000248305	0	0	1	9	3	8	11	3	3
ENSG00000248330	2	0	0	0	0	0	0	0	0
ENSG00000286494	0	0	0	0	0	0	0	0	2
ENSG00000248770	2	1	1	0	4	0	7	3	3
ENSG00000249627	0	0	0	0	0	0	0	0	0
ENSG00000273180	0	0	0	0	0	1	0	0	0
ENSG00000287083	5	3	4	4	4	6	7	11	3
ENSG00000213331	0	0	0	0	0	0	0	1	0
ENSG00000251418	0	0	1	2	1	3	2	0	1
ENSG00000272784	0	0	1	2	0	0	3	0	1
ENSG00000250725	0	0	0	0	0	0	0	1	1
ENSG00000272744	4	0	8	12	13	14	11	18	12
ENSG00000249901	0	0	0	1	3	0	1	0	0
ENSG00000248206	25	19	36	30	29	37	52	29	54
ENSG00000227765	0	0	1	2	1	1	1	2	2
ENSG00000164129	0	0	0	3	0	5	4	4	3
ENSG00000249074	0	0	0	0	0	0	0	0	0
ENSG00000241877	0	0	0	0	1	0	0	0	0
ENSG00000164123	17	6	13	25	14	14	32	16	34
ENSG00000251128	10	4	5	7	3	3	4	3	7
ENSG00000231171	0	0	0	0	0	3	0	1	1
ENSG00000248431	0	1	1	6	5	6	5	9	6
ENSG00000287226	0	0	0	0	0	0	0	1	1
ENSG00000248197	0	0	0	2	2	4	1	2	1
ENSG00000251407	0	0	0	0	0	0	0	0	0
ENSG00000286371	1	0	1	7	10	6	5	10	12
ENSG00000287433	0	1	0	5	1	2	6	5	2
ENSG00000248816	3	3	5	6	5	6	5	7	7
ENSG00000038295	11	12	6	21	11	12	33	13	15
ENSG00000249284	0	0	1	0	0	0	0	4	0
ENSG00000164114	784	462	889	507	469	480	817	595	544
ENSG00000109576	231	163	247	260	209	183	396	229	241
ENSG00000287775	11	6	11	7	0	12	13	11	18
ENSG00000249875	8	4	4	22	15	24	28	19	24
ENSG00000249317	0	0	0	1	0	1	1	0	0
ENSG00000248249	1	3	3	3	10	4	17	7	2
ENSG00000251253	0	0	0	0	0	0	0	0	1
ENSG00000168594	0	0	0	5	3	2	5	4	2
ENSG00000250488	0	0	0	0	0	0	0	0	0
ENSG00000249008	0	0	0	0	0	0	0	0	0
ENSG00000109674	541	401	577	345	296	338	609	418	451
ENSG00000164122	0	3	4	6	6	3	6	12	9
ENSG00000251025	9	2	1	8	2	1	9	6	11
ENSG00000250993	0	0	0	0	0	0	0	0	0
ENSG00000248162	0	0	0	2	0	0	0	0	0
ENSG00000150628	4	8	5	24	16	25	35	15	18
ENSG00000270387	35	11	28	7	15	15	29	16	18
ENSG00000287571	0	0	0	0	0	0	0	0	0
ENSG00000248339	0	0	0	0	1	0	0	0	0
ENSG00000249642	0	0	0	0	0	0	0	0	0
ENSG00000250024	0	0	0	0	0	0	0	0	0
ENSG00000249269	0	0	0	0	0	0	1	0	0
ENSG00000249742	0	0	0	0	1	0	0	1	0
ENSG00000150630	15	16	11	20	25	21	34	14	24
ENSG00000251223	0	0	0	0	1	0	0	0	0
ENSG00000232648	24	12	25	32	30	26	45	28	43
ENSG00000249425	0	0	0	0	0	0	1	0	0
ENSG00000241011	0	0	0	0	0	0	0	0	0
ENSG00000145414	495	398	318	331	298	266	666	400	446
ENSG00000185758	5	6	2	1	1	3	4	10	9
ENSG00000250263	0	0	0	0	0	1	0	0	1
ENSG00000240159	0	0	0	1	0	1	1	2	2
ENSG00000250372	0	0	0	0	0	0	0	0	2
ENSG00000248980	0	0	1	1	0	1	1	2	3
ENSG00000279994	0	0	0	0	0	0	0	0	0
ENSG00000164144	707	478	733	404	429	430	703	501	583
ENSG00000227283	0	0	0	0	0	0	1	0	0
ENSG00000250200	0	0	0	0	0	0	0	1	0
ENSG00000251359	1	2	4	5	4	6	9	9	5
ENSG00000218336	889	678	703	552	441	466	761	553	623
ENSG00000173320	426	293	458	514	496	472	943	594	651
ENSG00000129128	3296	1893	3003	937	1034	1051	1832	1422	1356
ENSG00000184108	0	0	0	0	0	2	0	0	0
ENSG00000151617	51	30	69	66	58	48	91	86	70
ENSG00000249460	6	5	3	6	11	13	9	6	10
ENSG00000250523	0	0	0	0	0	0	0	0	0
ENSG00000248822	0	0	0	0	0	0	0	0	0
ENSG00000250968	0	0	0	0	0	0	0	0	1
ENSG00000249084	38	19	36	20	30	21	48	22	24
ENSG00000250596	1	2	0	9	15	13	7	10	11
ENSG00000196104	0	0	0	9	1	0	16	0	1
ENSG00000250431	0	0	0	0	0	0	0	0	0
ENSG00000248739	0	0	0	0	1	0	0	0	0
ENSG00000260303	0	0	0	1	0	0	0	0	0
ENSG00000248748	0	0	0	0	0	0	0	0	0
ENSG00000198948	209	132	230	187	169	175	368	203	244
ENSG00000250754	0	1	0	1	2	3	2	1	3
ENSG00000109466	272	193	313	166	159	173	292	188	233
ENSG00000251584	1	1	1	8	3	5	6	8	8
ENSG00000151729	323	194	375	178	157	148	295	213	268
ENSG00000287544	2	3	2	2	1	7	12	6	4
ENSG00000248396	0	0	0	0	0	0	0	0	0
ENSG00000251482	1	1	0	1	0	3	2	2	0
ENSG00000251200	0	0	0	0	1	1	0	0	0
ENSG00000250042	0	0	0	0	0	0	0	1	1
ENSG00000250252	1	0	1	5	2	0	4	4	2
ENSG00000038002	179	110	308	112	101	116	191	123	142
ENSG00000250829	0	0	1	0	0	0	1	1	1
ENSG00000250547	0	0	0	0	0	0	0	0	0
ENSG00000250910	26	22	23	16	22	20	34	27	20
ENSG00000242635	0	0	1	0	0	0	0	0	0
ENSG00000248913	0	0	0	0	0	0	0	1	0
ENSG00000250475	0	1	0	0	0	0	0	0	0
ENSG00000164031	1199	642	1241	1078	1092	1082	1667	1361	1358
ENSG00000287349	1	0	0	1	1	0	2	0	3
ENSG00000249943	0	0	0	0	0	1	0	0	0
ENSG00000286720	0	1	1	7	9	6	3	7	6
ENSG00000248694	1	1	1	5	3	2	3	9	4
ENSG00000250997	0	0	0	0	0	0	0	0	0
ENSG00000248880	0	0	0	0	0	0	0	0	0
ENSG00000248601	0	0	0	0	0	0	0	0	0
ENSG00000171509	4	0	3	6	22	10	20	17	20
ENSG00000250150	0	1	0	0	0	0	0	0	0
ENSG00000250739	0	0	2	0	1	1	0	1	0
ENSG00000225356	0	0	0	1	4	2	4	7	3
ENSG00000249409	10	10	10	14	7	9	17	10	14
ENSG00000286119	0	0	0	4	4	3	2	6	4
ENSG00000270336	0	0	0	0	0	0	0	0	0
ENSG00000250620	0	0	0	0	1	1	2	1	3
ENSG00000249747	0	0	0	0	0	0	0	0	0
ENSG00000272218	1	0	0	0	0	1	1	0	1
ENSG00000151612	278	218	241	357	343	354	506	431	454
ENSG00000287183	0	0	0	0	0	1	0	0	0
ENSG00000250704	0	0	0	0	0	0	0	0	0
ENSG00000197410	28	18	41	61	62	58	96	73	93
ENSG00000164142	401	310	355	372	286	299	672	315	404
ENSG00000168564	455	282	448	366	359	432	502	422	479
ENSG00000273449	86	42	62	67	54	70	137	92	93
ENSG00000249162	0	0	0	0	0	0	0	0	0
ENSG00000248548	0	0	0	0	0	0	0	0	0
ENSG00000287822	0	0	0	0	0	0	0	0	2
ENSG00000283383	1	0	0	0	0	1	2	1	0
ENSG00000249458	1	0	0	0	0	0	0	0	1
ENSG00000250666	0	0	0	0	0	1	0	0	0
ENSG00000279139	0	0	0	0	0	0	0	0	0
ENSG00000280219	33	14	38	95	84	71	96	78	95
ENSG00000249525	0	0	0	0	0	0	0	0	0
ENSG00000240992	0	0	0	1	0	0	0	3	1
ENSG00000179059	0	0	0	0	0	0	0	0	0
ENSG00000249127	0	0	0	0	1	0	0	0	0
ENSG00000286734	1	1	0	2	6	5	8	1	11
ENSG00000279098	13	11	12	13	16	14	22	27	21
ENSG00000151718	1034	774	966	614	602	618	1132	738	815
ENSG00000250357	1	1	0	2	5	3	2	0	2
ENSG00000251632	0	0	0	0	0	0	0	0	1
ENSG00000164120	29	18	32	31	36	46	36	49	42
ENSG00000249539	0	0	0	0	0	0	1	0	0
ENSG00000286860	5	2	2	9	8	4	5	6	4
ENSG00000251611	2	0	4	6	8	12	15	9	8
ENSG00000250590	0	1	0	0	0	0	0	0	0
ENSG00000168538	524	314	612	367	332	313	652	424	445
ENSG00000272566	0	0	0	0	0	0	0	0	0
ENSG00000283043	0	0	0	0	0	0	0	0	0
ENSG00000251336	1	0	1	1	0	0	3	1	0
ENSG00000151005	3	0	0	0	5	1	7	5	9
ENSG00000250971	0	0	0	0	1	0	0	2	1
ENSG00000250658	0	0	0	0	0	0	0	1	0
ENSG00000251619	0	0	0	0	0	0	0	0	0
ENSG00000250957	0	2	0	2	9	21	11	15	9
ENSG00000248429	3	1	2	4	1	0	2	1	0
ENSG00000177803	0	0	2	1	1	0	0	2	0
ENSG00000251165	0	0	0	1	2	1	2	1	0
ENSG00000251643	0	0	0	0	0	0	0	0	0
ENSG00000286641	0	0	0	0	0	0	0	0	0
ENSG00000248551	0	0	0	0	0	0	0	1	0
ENSG00000251073	0	0	0	0	0	0	0	0	0
ENSG00000272646	3	0	0	2	3	4	2	5	2
ENSG00000251416	0	0	1	1	0	1	0	0	1
ENSG00000248210	6	2	3	6	5	5	14	3	6
ENSG00000286133	0	0	0	0	0	0	0	0	0
ENSG00000174145	12	8	5	6	14	13	18	9	12
ENSG00000250195	6	6	1	11	12	19	24	13	22
ENSG00000249698	0	0	0	0	0	0	0	0	0
ENSG00000213434	2	2	8	3	8	7	3	8	8
ENSG00000249066	0	0	0	0	0	0	0	0	0
ENSG00000251213	1	0	0	9	5	4	7	3	7
ENSG00000249945	0	0	0	0	0	0	0	0	0
ENSG00000225176	0	0	1	0	1	3	2	0	0
ENSG00000250577	0	2	0	3	1	0	5	1	1
ENSG00000275826	0	0	0	0	0	0	0	1	0
ENSG00000251490	0	0	0	0	0	0	0	0	0
ENSG00000249818	0	0	0	2	3	0	1	0	1
ENSG00000185149	0	0	3	1	2	2	2	1	1
ENSG00000251609	3	8	11	12	4	13	13	7	13
ENSG00000250501	7	11	5	46	33	31	39	38	48
ENSG00000180015	35	29	32	26	24	31	47	36	36
ENSG00000248546	1	1	0	0	0	1	0	0	0
ENSG00000242169	0	0	0	0	1	0	0	0	3
ENSG00000205100	7	7	2	0	1	0	1	0	2
ENSG00000251310	0	0	0	0	0	0	0	0	0
ENSG00000283355	26	13	16	29	21	12	39	18	23
ENSG00000249877	0	0	0	0	0	0	0	0	0
ENSG00000250458	0	0	0	0	2	0	1	1	0
ENSG00000248517	0	0	0	0	0	0	1	0	1
ENSG00000247130	1	0	0	0	0	0	0	0	0
ENSG00000248370	0	0	0	0	0	0	0	0	0
ENSG00000286700	0	0	0	0	0	0	0	0	1
ENSG00000249520	0	0	0	0	0	0	0	0	0
ENSG00000224569	1	0	0	1	0	0	0	0	1
ENSG00000250292	0	0	1	7	8	8	11	10	16
ENSG00000250497	0	0	1	10	10	15	2	15	11
ENSG00000250768	0	0	0	0	0	0	0	0	0
ENSG00000248019	199	124	141	148	186	121	230	221	187
ENSG00000250356	0	0	0	0	0	2	2	2	0
ENSG00000250746	1	5	2	1	0	0	1	1	2
ENSG00000286066	0	0	1	3	1	1	0	3	2
ENSG00000250636	0	0	0	0	0	0	0	0	0
ENSG00000251688	1	0	0	11	16	16	13	6	11
ENSG00000249618	15	12	21	14	17	28	36	34	40
ENSG00000286821	0	0	0	0	0	0	0	0	0
ENSG00000249106	4	3	8	21	12	14	20	10	19
ENSG00000251298	1	1	2	8	9	10	13	7	5
ENSG00000250189	0	0	0	1	5	1	2	3	3
ENSG00000184139	0	0	0	0	0	0	0	0	0
ENSG00000251555	3	1	0	0	0	0	1	0	2
ENSG00000200761	0	1	0	0	0	0	0	0	0
ENSG00000221275	0	0	0	0	1	3	6	2	0
ENSG00000203436	1	1	0	0	0	0	2	1	2
ENSG00000252002	0	0	0	0	0	0	0	0	0
ENSG00000222182	0	0	0	0	0	1	1	0	0
ENSG00000212282	1	1	0	2	1	0	1	1	0
ENSG00000202449	0	0	0	0	0	1	0	0	0
ENSG00000199420	0	0	0	1	1	0	1	1	3
ENSG00000207716	0	0	0	0	0	0	0	0	0
ENSG00000206780	0	0	0	0	1	0	0	0	0
ENSG00000283271	3	0	1	2	1	1	3	1	1
ENSG00000207697	15	16	14	17	16	13	10	18	24
ENSG00000243005	8	17	9	12	13	10	13	12	10
ENSG00000239001	0	1	0	0	0	0	1	0	0
ENSG00000251816	0	0	0	0	0	0	0	0	0
ENSG00000243548	0	0	0	0	0	1	1	0	0
ENSG00000283275	0	0	0	0	0	0	0	0	0
ENSG00000238632	0	0	0	0	0	0	0	0	0
ENSG00000283666	0	0	0	0	0	0	0	0	0
ENSG00000283207	0	0	0	0	0	0	0	0	0
ENSG00000222206	0	0	0	0	0	0	0	0	0
ENSG00000238694	0	0	0	0	0	0	0	0	0
ENSG00000206665	0	0	0	0	0	0	0	0	0
ENSG00000264319	0	0	0	0	0	0	0	0	0
ENSG00000200720	0	0	0	0	0	0	0	0	0
ENSG00000252243	0	0	0	0	0	0	0	0	0
ENSG00000206675	2	5	1	3	13	4	5	12	5
ENSG00000239679	0	0	0	0	0	0	0	0	0
ENSG00000222257	0	0	0	0	0	0	0	0	0
ENSG00000252913	2	0	0	2	0	1	2	6	1
ENSG00000277388	5	1	0	4	3	3	7	4	3
ENSG00000199780	0	0	0	0	0	0	0	0	0
ENSG00000265829	0	0	0	0	0	0	0	0	0
ENSG00000202169	0	0	1	2	1	2	2	4	1
ENSG00000201775	0	0	0	0	0	0	0	0	0
ENSG00000252890	0	0	0	0	0	0	0	2	1
ENSG00000221563	2	0	2	2	2	3	5	3	1
ENSG00000252104	0	0	0	0	0	0	0	0	0
ENSG00000206629	5	3	5	15	4	7	17	7	18
ENSG00000274759	6	10	9	17	13	13	18	12	19
ENSG00000201676	0	0	0	0	0	0	0	0	0
ENSG00000202374	0	0	0	0	0	0	0	0	0
ENSG00000210839	1	1	0	1	2	4	0	4	1
ENSG00000252955	1	1	1	2	1	2	0	5	1
ENSG00000252762	0	0	0	1	0	1	2	1	1
ENSG00000202485	0	0	1	4	3	2	0	7	6
ENSG00000200108	6	2	2	9	3	5	16	5	4
ENSG00000201901	12	15	4	4	13	11	16	12	13
ENSG00000207746	3	1	1	2	2	1	0	0	0
ENSG00000278151	0	0	0	0	0	0	0	0	0
ENSG00000276003	0	0	0	0	0	0	0	0	0
ENSG00000199530	4	11	4	2	3	7	20	2	13
ENSG00000251874	5	4	3	2	1	4	6	6	1
ENSG00000207524	8	2	0	17	13	8	14	12	12
ENSG00000200622	0	0	0	0	0	0	0	0	0
ENSG00000266421	1	0	1	0	0	2	0	0	2
ENSG00000201640	0	0	1	1	0	0	0	1	1
ENSG00000199529	0	0	0	0	0	0	0	0	0
ENSG00000252470	0	0	0	0	0	1	1	0	0
ENSG00000201744	0	0	0	0	0	0	0	0	0
ENSG00000252460	0	0	0	1	0	0	0	0	1
ENSG00000201633	0	0	0	0	0	0	0	0	0
ENSG00000206601	15	8	5	4	11	7	14	20	14
ENSG00000275994	0	0	0	0	0	0	0	0	0
ENSG00000207931	3	0	0	1	1	0	4	1	0
ENSG00000243227	7	1	2	5	5	2	2	9	2
ENSG00000207988	13	5	9	6	7	3	8	7	6
ENSG00000273882	4	1	0	2	3	2	2	4	1
ENSG00000221265	6	5	7	8	13	6	17	6	5
ENSG00000223006	0	0	2	2	2	0	6	3	2
ENSG00000252183	0	0	0	0	0	0	0	0	0
ENSG00000201752	0	0	0	0	0	0	1	0	0
ENSG00000212359	0	1	1	3	1	0	1	0	1
ENSG00000199862	0	0	0	0	0	1	0	0	0
ENSG00000241392	0	0	0	0	0	0	0	0	0
ENSG00000200553	0	0	0	0	2	0	2	0	0
ENSG00000281369	3	2	5	0	2	2	0	3	2
ENSG00000207322	0	0	0	0	0	0	1	0	0
ENSG00000206782	0	0	0	0	0	0	0	0	0
ENSG00000207148	0	0	0	0	0	0	0	0	0
ENSG00000240637	0	1	0	2	1	1	3	1	1
ENSG00000252014	0	0	0	0	0	0	0	0	0
ENSG00000201314	0	0	0	0	0	0	0	0	0
ENSG00000283432	0	0	0	0	0	0	1	0	0
ENSG00000201846	0	0	1	0	1	0	1	1	0
ENSG00000239168	0	0	0	0	0	0	0	0	0
ENSG00000207121	0	0	0	0	0	0	0	0	0
ENSG00000202331	0	0	0	1	0	0	0	0	0
ENSG00000252951	2	5	3	1	2	5	3	4	4
ENSG00000252233	0	0	0	4	3	0	3	2	4
ENSG00000264274	1	2	0	0	1	1	1	0	3
ENSG00000240014	3	4	3	2	1	4	3	2	4
ENSG00000253019	2	0	0	1	3	1	5	1	3
ENSG00000221369	0	0	0	1	1	1	1	0	2
ENSG00000253077	0	0	0	0	1	0	0	0	0
ENSG00000206978	0	0	0	0	1	2	0	1	0
ENSG00000274535	3	3	1	1	1	1	2	0	2
ENSG00000199634	0	0	0	0	0	0	0	0	0
ENSG00000206711	0	0	0	0	0	2	1	0	0
ENSG00000223037	0	0	0	0	0	0	0	0	0
ENSG00000222721	0	0	0	1	0	0	0	0	0
ENSG00000252959	0	0	0	0	0	0	0	0	0
ENSG00000251961	0	0	0	0	0	0	0	0	0
ENSG00000253001	0	0	0	1	0	0	2	1	2
ENSG00000200521	0	2	0	0	0	1	0	0	0
ENSG00000278502	0	0	0	0	0	0	0	0	0
ENSG00000240772	0	0	0	0	0	0	0	0	0
ENSG00000201931	0	0	0	0	2	1	3	1	1
ENSG00000253000	0	0	0	0	0	0	0	0	0
ENSG00000222859	0	0	0	0	0	0	0	2	4
ENSG00000212373	0	0	0	0	0	0	0	0	0
ENSG00000201727	0	0	0	0	0	0	0	0	0
ENSG00000283468	0	3	1	1	2	2	1	1	1
ENSG00000251742	0	0	0	1	0	0	1	0	1
ENSG00000201433	0	1	3	4	1	1	5	3	3
ENSG00000251739	0	0	1	3	1	0	2	1	1
ENSG00000252157	0	0	2	3	1	2	5	1	1
ENSG00000201516	2	1	1	4	1	1	3	1	1
ENSG00000244512	0	0	0	0	1	0	0	0	0
ENSG00000221227	6	6	6	4	6	6	13	9	12
ENSG00000252343	4	3	4	2	3	8	6	5	3
ENSG00000222582	0	0	0	0	0	0	0	0	0
ENSG00000251714	5	2	5	1	3	1	4	2	5
ENSG00000252604	0	0	0	0	0	0	0	0	0
ENSG00000265846	1	0	0	1	0	4	1	0	3
ENSG00000201085	0	0	0	0	0	0	0	0	0
ENSG00000202215	0	1	1	0	0	0	0	0	0
ENSG00000212191	0	0	0	0	0	0	0	0	0
